지역별(2),노인인구(65세 이상),노인인구(65세 이상)_남자 (명),노인인구(65세 이상)_여자 (명),노인인구(65세 이상)_성비 (여성 1백명당 명),65~69세,65~69세_남자 (명),65~69세_여자 (명),65~69세_성비 (여성 1백명당 명),70~74세,70~74세_남자 (명),70~74세_여자 (명),70~74세_성비 (여성 1백명당 명),75~79세,75~79세_남자 (명),75~79세_여자 (명),75~79세_성비 (여성 1백명당 명),80세 이상,80세 이상_남자 (명),80세 이상_여자 (명),80세 이상_성비 (여성 1백명당 명)
전국,8706561,3788353,4918208,77,2976607,1433783,1542824,92.9,2089644,975415,1114229,87.5,1584604,685723,898881,76.3,2055706,693432,1362274,50.9
인천광역시,432149,189585,242564,78.2,157992,76701,81291,94.4,102795,48735,54060,90.1,75904,33025,42879,77,95458,31124,64334,48.4
강화군,22608,10259,12349,83.1,6491,3220,3271,98.4,5073,2530,2543,99.5,4371,1998,2373,84.2,6673,2511,4162,60.3
옹진군,5317,2516,2801,89.8,1809,957,852,112.3,1248,644,604,106.6,981,457,524,87.2,1279,458,821,55.8
중구,21339,9384,11955,78.5,7394,3556,3838,92.7,5250,2430,2820,86.2,4026,1837,2189,83.9,4669,1561,3108,50.2
동구,14378,6115,8263,74,4665,2210,2455,90,3536,1553,1983,78.3,2882,1249,1633,76.5,3295,1103,2192,50.3
미추홀구,71879,31192,40687,76.7,24856,11659,13197,88.3,17655,8214,9441,87,13492,5894,7598,77.6,15876,5425,10451,51.9
연수구,40572,18164,22408,81.1,15965,8065,7900,102.1,9173,4348,4825,90.1,6664,2960,3704,79.9,8770,2791,5979,46.7
남동구,75936,32923,43013,76.5,28338,13464,14874,90.5,18341,8686,9655,90,13260,5693,7567,75.2,15997,5080,10917,46.5
부평구,76766,33280,43486,76.5,28461,13585,14876,91.3,18408,8622,9786,88.1,13307,5721,7586,75.4,16590,5352,11238,47.6
계양구,40628,17881,22747,78.6,15593,7860,7733,101.6,9134,4472,4662,95.9,6653,2730,3923,69.6,9248,2819,6429,43.8
서구,62726,27871,34855,80,24420,12125,12295,98.6,14977,7236,7741,93.5,10268,4486,5782,77.6,13061,4024,9037,44.5
